coin,name,datePrice,currentPrice,link_to_exch,fl_added
PEPECASH,Pepe Cash,2017-12-15 21:01:51.695764+00:00,0.0890249,https://coinmarketcap.com/currencies/pepe-cash/,True
MGO,MobileGo,2017-12-15 21:01:51.695764+00:00,0.632753,https://coinmarketcap.com/currencies/mobilego/,True
RLC,iExec RLC,2017-12-15 21:01:51.695764+00:00,0.774011,https://coinmarketcap.com/currencies/rlc/,True
EDO,Eidoo,2017-12-15 21:01:51.695764+00:00,2.81318,https://coinmarketcap.com/currencies/eidoo/,True
SAFEX,Safe Exchange...,2017-12-15 21:01:51.695764+00:00,0.0271552,https://coinmarketcap.com/currencies/safe-exchange-coin/,True
MER,Mercury,2017-12-15 21:01:51.695764+00:00,0.573976,https://coinmarketcap.com/currencies/mercury/,True
EMC,Emercoin,2017-12-15 21:01:51.695764+00:00,1.38365,https://coinmarketcap.com/currencies/emercoin/,True
NMC,Namecoin,2017-12-15 21:01:51.695764+00:00,3.80693,https://coinmarketcap.com/currencies/namecoin/,True
PLR,Pillar,2017-12-15 21:01:51.695764+00:00,0.232043,https://coinmarketcap.com/currencies/pillar/,True
WINGS,Wings,2017-12-15 21:01:51.695764+00:00,0.588086,https://coinmarketcap.com/currencies/wings/,True
KCS,KuCoin Shares,2017-12-15 21:01:51.695764+00:00,0.572622,https://coinmarketcap.com/currencies/kucoin-shares/,True
CLOAK,CloakCoin,2017-12-15 21:01:51.695764+00:00,10.2841,https://coinmarketcap.com/currencies/cloakcoin/,True
1ST,FirstBlood,2017-12-15 21:01:51.695764+00:00,0.607029,https://coinmarketcap.com/currencies/firstblood/,True
AGRS,Agoras Tokens,2017-12-15 21:01:51.695764+00:00,1.23426,https://coinmarketcap.com/currencies/agoras-tokens/,True
KIN,Kin,2017-12-15 21:01:51.695764+00:00,6.81798e-05,https://coinmarketcap.com/currencies/kin/,True
JINN,Jinn,2017-12-15 21:01:51.695764+00:00,874.384,https://coinmarketcap.com/currencies/jinn/,True
RDD,ReddCoin,2017-12-15 21:01:51.695764+00:00,0.00177025,https://coinmarketcap.com/currencies/reddcoin/,True
CDT,CoinDash,2017-12-15 21:01:51.695764+00:00,0.0896548,https://coinmarketcap.com/currencies/coindash/,True
AEON,Aeon,2017-12-15 21:01:51.695764+00:00,3.40887,https://coinmarketcap.com/currencies/aeon/,True
NEBL,Neblio,2017-12-15 21:01:51.695764+00:00,3.90074,https://coinmarketcap.com/currencies/neblio/,True
TIPS,FedoraCoin,2017-12-15 21:01:51.695764+00:00,0.000111097,https://coinmarketcap.com/currencies/fedoracoin/,True
XP,XP,2017-12-15 21:01:51.695764+00:00,0.000259925,https://coinmarketcap.com/currencies/xp/,True
VEE,BLOCKv,2017-12-15 21:01:51.695764+00:00,0.0355646,https://coinmarketcap.com/currencies/blockv/,True
ENG,Enigma,2017-12-15 21:01:51.695764+00:00,0.640429,https://coinmarketcap.com/currencies/enigma-project/,True
WABI,WaBi,2017-12-15 21:01:51.695764+00:00,1.04089,https://coinmarketcap.com/currencies/wabi/,True
TNT,Tierion,2017-12-15 21:01:51.695764+00:00,0.111411,https://coinmarketcap.com/currencies/tierion/,True
OTN,Open Trading ...,2017-12-15 21:01:51.695764+00:00,10.0247,https://coinmarketcap.com/currencies/open-trading-network/,True
CFI,Cofound.it,2017-12-15 21:01:51.695764+00:00,0.142194,https://coinmarketcap.com/currencies/cofound-it/,True
PAYX,Paypex,2017-12-15 21:01:51.695764+00:00,0.675771,https://coinmarketcap.com/currencies/paypex/,True
MLN,Melon,2017-12-15 21:01:51.695764+00:00,76.1904,https://coinmarketcap.com/currencies/melon/,True
